time_h,glucose_gL,biomass_gL,ethanol_gL,tyrosol_gL,mu_1h,qS_mmol_gDCW_h
0,74.6425,0.0531,1.78159875847993,0.00475350250171906,0,3.29572960963459
0.25,74.6346180289713,0.0531,1.78399208262074,0.00622700384495916,0,3.2957272936794
0.5,74.6267360634814,0.0531,1.78638540521615,0.00770050402947803,0,3.29572497723987
0.75,74.6188541035315,0.0531,1.78877872626582,0.00917400305503333,0,3.29572266031586
1,74.6109721491226,0.0531,1.79117204576944,0.0106475009213826,0,3.29572034290722
1.25,74.6030902002559,0.0531,1.79356536372668,0.0121209976282834,0,3.29571802501379
1.5,74.5952082569327,0.0531,1.79595868013722,0.0135944931754931,0,3.29571570663542
1.75,74.587326319154,0.0531,1.79835199500073,0.0150679875627692,0,3.29571338777196
2,74.5794443869211,0.0531,1.80074530831689,0.0165414807898687,0,3.29571106842326
2.25,74.5715624602351,0.0531,1.80313862008538,0.018014972856549,0,3.29570874858916
2.5,74.563680539097,0.0531,1.80553193030587,0.0194884637625672,0,3.29570642826952
2.75,74.5557986235083,0.0531,1.80792523897803,0.0209619535076803,0,3.29570410746418
3,74.5479167134698,0.0531,1.81031854610156,0.0224354420916453,0,3.29570178617298
3.25,74.5400348089829,0.0531,1.81271185167611,0.0239089295142191,0,3.29569946439579
3.5,74.5321529100487,0.0531,1.81510515570137,0.0253824157751584,0,3.29569714213244
3.75,74.5242710166684,0.0531,1.81749845817701,0.0268559008742201,0,3.29569481938278
4,74.5163891288431,0.0531,1.8198917591027,0.0283293848111608,0,3.29569249614666
4.25,74.5085072465739,0.0531,1.82228505847813,0.0298028675857371,0,3.29569017242393
4.5,74.5006253698622,0.0531,1.82467835630297,0.0312763491977055,0,3.29568784821443
4.75,74.4927434987089,0.0531,1.82707165257689,0.0327498296468224,0,3.29568552351801
5,74.4848616331153,0.0531,1.82946494729956,0.0342233089328442,0,3.29568319833453
5.25,74.4769797730825,0.0531,1.83185824047067,0.0356967870555272,0,3.29568087266382
5.5,74.4690979186118,0.0531,1.83425153208989,0.0371702640146276,0,3.29567854650573
5.75,74.4612160697042,0.0531,1.83664482215688,0.0386437398099015,0,3.29567621986012
6,74.453334226361,0.0531,1.83903811067134,0.040117214441105,0,3.29567389272683
6.25,74.4454523885832,0.0531,1.84143139763292,0.0415906879079941,0,3.29567156510569
6.5,74.4375705563722,0.0531,1.84382468304131,0.0430641602103245,0,3.29566923699658
6.75,74.4296887297289,0.0531,1.84621796689619,0.0445376313478523,0,3.29566690839932
7,74.4218069086547,0.0531,1.84861124919721,0.046011101320333,0,3.29566457931376
7.25,74.4139250931507,0.0531,1.85100452994407,0.0474845701275225,0,3.29566224973976
7.5,74.406043283218,0.0531,1.85339780913642,0.0489580377691762,0,3.29565991967716
7.75,74.3981614788578,0.0531,1.85579108677396,0.0504315042450498,0,3.2956575891258
8,74.3902796800712,0.0531,1.85818436285634,0.0519049695548985,0,3.29565525808554
8.25,74.3823978868596,0.0531,1.86057763738325,0.0533784336984779,0,3.29565292655621
8.5,74.3745160992239,0.0531,1.86297091035435,0.0548518966755432,0,3.29565059453767
8.75,74.3666343171655,0.0531,1.86536418176933,0.0563253584858496,0,3.29564826202976
9,74.3587525406854,0.0531,1.86775745162785,0.0577988191291522,0,3.29564592903233
9.25,74.3508707697848,0.0531,1.87015071992959,0.059272278605206,0,3.29564359554522
9.5,74.3429890044649,0.0531,1.87254398667422,0.0607457369137662,0,3.29564126156828
9.75,74.3351072447269,0.0531,1.87493725186141,0.0622191940545875,0,3.29563892710136
10,74.3272254905719,0.0531,1.87733051549084,0.0636926500274249,0,3.2956365921443
10.25,74.3193437420012,0.0531,1.87972377756218,0.0651661048320329,0,3.29563425669695
10.5,74.3114619990158,0.0531,1.8821170380751,0.0666395584681664,0,3.29563192075916
10.75,74.303580261617,0.0531,1.88451029702928,0.0681130109355799,0,3.29562958433076
11,74.2956985298059,0.0531,1.88690355442439,0.0695864622340279,0,3.29562724741161
11.25,74.2878168035838,0.0531,1.8892968102601,0.0710599123632649,0,3.29562491000155
11.5,74.2799350829517,0.0531,1.89169006453608,0.0725333613230452,0,3.29562257210043
11.75,74.2720533679109,0.0531,1.894083317252,0.0740068091131231,0,3.2956202337081
12,74.2641716584625,0.0531,1.89647656840755,0.0754802557332528,0,3.29561789482438
12.25,74.2562899546077,0.0531,1.89886981800238,0.0769537011831885,0,3.29561555544915
12.5,74.2484082563477,0.0531,1.90126306603618,0.0784271454626842,0,3.29561321558223
12.75,74.2405265636837,0.0531,1.9036563125086,0.0799005885714939,0,3.29561087522348
13,74.2326448766168,0.0531,1.90604955741934,0.0813740305093714,0,3.29560853437274
13.25,74.2247631951482,0.0531,1.90844280076805,0.0828474712760706,0,3.29560619302985
13.5,74.2168815192791,0.0531,1.9108360425544,0.0843209108713453,0,3.29560385119466
13.75,74.2089998490106,0.0531,1.91322928277808,0.0857943492949491,0,3.29560150886702
14,74.201118184344,0.0531,1.91562252143875,0.0872677865466356,0,3.29559916604677
14.25,74.1932365252804,0.0531,1.91801575853608,0.0887412226261583,0,3.29559682273375
14.5,74.185354871821,0.0531,1.92040899406975,0.0902146575332706,0,3.29559447892781
14.75,74.177473223967,0.0531,1.92280222803942,0.0916880912677259,0,3.2955921346288
15,74.1695915817196,0.0531,1.92519546044477,0.0931615238292775,0,3.29558978983655
15.25,74.1617099450799,0.0531,1.92758869128546,0.0946349552176786,0,3.29558744455093
15.5,74.1538283140491,0.0531,1.92998192056117,0.0961083854326823,0,3.29558509877176
15.75,74.1459466886284,0.0531,1.93237514827156,0.0975818144740416,0,3.29558275249889
16,74.138065068819,0.0531,1.93427708960263,0.0990552423415095,0,3.29558040573217
16.25,74.130183454622,0.0531,1.93667031418142,0.100528669034839,0,3.29557805847144
16.5,74.1223018460387,0.0531,1.9390635371939,0.102002094553783,0,3.29557571071655
16.75,74.1144202430702,0.0531,1.94145675863975,0.103475518898093,0,3.29557336246734
17,74.1065386457177,0.0531,1.94384997851864,0.104948942067524,0,3.29557101372366
17.25,74.0986570539824,0.0531,1.94624319683025,0.106422364061827,0,3.29556866448534
17.5,74.0907754678655,0.0531,1.94863641357423,0.107895784880754,0,3.29556631475224
17.75,74.0828938873681,0.0531,1.95102962875026,0.109369204524059,0,3.2955639645242
18,74.0750123124914,0.0531,1.953422842358,0.110842622991493,0,3.29556161380105
18.25,74.0671307432367,0.0531,1.95581605439714,0.112316040282809,0,3.29555926258266
18.5,74.0592491796051,0.0531,1.95820926486734,0.113789456397759,0,3.29555691086885
18.75,74.0513676215978,0.0531,1.96060247376826,0.115262871336095,0,3.29555455865947
19,74.0434860692159,0.0531,1.96299568109958,0.11673628509757,0,3.29555220595437
19.25,74.0356045224607,0.0531,1.96538888686096,0.118209697681934,0,3.29554985275339
19.5,74.0277229813334,0.0531,1.96778209105208,0.11968310908894,0,3.29554749905638
19.75,74.0198414458351,0.0531,1.97017529367261,0.12115651931834,0,3.29554514486317
20,74.011959915967,0.0531,1.9725684947222,0.122629928369886,0,3.29554279017361
20.25,74.0040783917303,0.0531,1.97496169420054,0.124103336243329,0,3.29554043498754
20.5,73.9961968731262,0.0531,1.97735489210729,0.12557674293842,0,3.29553807930482
20.75,73.9883153601559,0.0531,1.97974808844211,0.127050148454911,0,3.29553572312527
21,73.9804338528206,0.0531,1.98214128320468,0.128523552792554,0,3.29553336644875
21.25,73.9725523511214,0.0531,1.98453447639467,0.1299969559511,0,3.29553100927509
21.5,73.9646708550596,0.0531,1.98692766801174,0.1314703579303,0,3.29552865160415
21.75,73.9567893646363,0.0531,1.98932085805557,0.132943758729906,0,3.29552629343575
22,73.9489078798527,0.0531,1.99171404652581,0.134417158349668,0,3.29552393476976
22.25,73.9410264007101,0.0531,1.99410723342214,0.135890556789337,0,3.295521575606
22.5,73.9331449272095,0.0531,1.99650041874423,0.137363954048664,0,3.29551921594432
22.75,73.9252634593523,0.0531,1.99889360249174,0.138837350127401,0,3.29551685578457
23,73.9173819971395,0.0531,2.01070979561723,0.142480187928168,0.0436818781837755,13.1688759225258
23.25,73.8858876966975,0.0536798769328896,2.02265495025295,0.146162805198798,0.0436818781837755,13.1688382075747
23.5,73.8540495548896,0.0542660863941653,2.03473047296444,0.149885636303453,0.0436818781837755,13.1688000483926
23.75,73.8218638188882,0.0548586975380103,2.04612789349168,0.153649120348679,0.0436818781837755,13.1687614393754
24,73.7893266949314,0.0554577802738043,2.05764974810872,0.157453701235166,0.0436818781837755,13.1687223748396
24.25,73.7564343478773,0.05606340527437,2.06979076074492,0.16129982771008,0.0436818781837755,13.1686828490211
24.5,73.7231829007531,0.0566756439843107,2.08240178331956,0.165187953419958,0.0436818781837755,13.1686428560743
24.75,73.6895684342998,0.0572945686284381,2.09480940215678,0.169118536964185,0.0436818781837755,13.1686023900699
25,73.6555869865114,0.057920252220293,2.10735251142598,0.173092041949054,0.0436818781837755,13.1685614449943
25.25,73.6212345521695,0.0585527685707581,2.1223923355505,0.177108937042413,0.0436818781837755,13.1685200147477
25.5,73.5865070823727,0.0591921922967657,2.13918442341997,0.181169696028911,0.0436818781837755,13.168478093143
25.75,73.5514004840608,0.0598385988301002,2.14947207799425,0.185274797865844,0.0436818781837755,13.1684356739038
26,73.515910619534,0.0604920644262963,2.16701614885587,0.189424726739612,0.0436818781837755,13.1683927506635
26.25,73.4800333059668,0.0611526661736349,2.17752965841464,0.193619972122792,0.0436818781837755,13.1683493169634
26.5,73.443764314917,0.0618204820022374,2.1954476729168,0.197861028831831,0.0436818781837755,13.1683053662513
26.75,73.4070993718284,0.0624955906932584,2.21356129652876,0.202148397085369,0.0436818781837755,13.1682608918794
27,73.370034155529,0.0631780718881799,2.23165363003758,0.206482582563201,0.0436818781837755,13.1682158871037
27.25,73.332564297724,0.0638680060982062,2.25016889347924,0.210864096465879,0.0436818781837755,13.1681703450812
27.5,73.2946853824818,0.0645654747137618,2.26723352617068,0.215293455574964,0.0436818781837755,13.1681242588688
27.75,73.2563929457164,0.0652705600140929,2.27868975459877,0.219771182313938,0.0436818781837755,13.1680776214217
28,73.2176824746625,0.0659833451769735,2.29003351110427,0.224297804809774,0.0436818781837755,13.168030425591
28.25,73.1785494073461,0.0667039142885181,2.30242553050649,0.228873856955185,0.0436818781837755,13.1679826641226
28.5,73.1389891320485,0.0674323523531011,2.31495283500293,0.233499878471549,0.0436818781837755,13.1679343296548
28.75,73.0989969867651,0.0681687453033845,2.3276170715598,0.238176414972514,0.0436818781837755,13.1678854147167
29,73.0585682586584,0.0689131800104553,2.34041939159908,0.242904018028308,0.0436818781837755,13.1678359117261
29.25,73.017698183504,0.0696657442940737,2.35336147446332,0.247683245230742,0.0436818781837755,13.1677858129878
29.5,72.9763819451321,0.0704265269330326,2.36644502159667,0.252514660258922,0.0436818781837755,13.1677351106912
29.75,72.934614674862,0.0711956176756314,2.37967122248466,0.257398832945681,0.0436818781837755,13.1676837969086
30,72.8923914509306,0.0719731072502628,2.39304181201662,0.262336339344735,0.0436818781837755,13.1676318635928
30.25,72.849707297915,0.0727590873761162,2.40655836588105,0.267327761798567,0.0436818781837755,13.1675793025752
30.5,72.8065571861486,0.0735536507739978,2.42022247694755,0.272373689007055,0.0436818781837755,13.1675261055635
30.75,72.7629360311309,0.0743568911772682,2.43403575545373,0.277474716096849,0.0436818781837755,13.1674722641393
31,72.718838692931,0.0751689033429006,2.44799982919428,0.282631444691498,0.0436818781837755,13.1674177697562
31.25,72.6742599755847,0.0759897830626587,2.46211634371199,0.287844482982352,0.0436818781837755,13.167362613737
31.5,72.629194626485,0.0768196271743974,2.47638696249087,0.293114445800224,0.0436818781837755,13.1673067872717
31.75,72.5836373357656,0.0776585335734862,2.49081336715139,0.298441954687846,0.0436818781837755,13.1672502814148
32,72.5375827356788,0.0785066012243581,2.50539725764776,0.303827637973102,0.0436818781837755,13.1671930870829
32.25,72.4910253999654,0.0793639301721843,2.5201405510244,0.309272130843075,0.0436818781837755,13.1671351950521
32.5,72.4439598432186,0.080230621554676,2.54195538602041,0.314776075418882,0.0436818781837755,13.1670765959555
32.75,72.396380520241,0.081106777614016,2.56376754299636,0.320340120831342,0.0436818781837755,13.1670172802804
33,72.348281825394,0.0819925017089195,2.58411802470704,0.325964923297459,0.0436818781837755,13.1669572383655
33.25,72.2996580919411,0.0828878983268275,2.60665503360779,0.33165114619774,0.0436818781837755,13.1668964603983
33.5,72.2505035913835,0.0837930730962329,2.61871994610678,0.337399460154357,0.0436818781837755,13.1668349364122
33.75,72.2008125327883,0.0847081327991414,2.63042548452056,0.343210543110161,0.0436818781837755,13.1667726562836
